date,CanadaGoose_followers_Weibo,SmartPhoto_followers_Instagram_Belgium,CanadaGoose_followers_Instagram,SmartPhoto_followers_Instagram_France,SmartPhoto_followers_Instagram_Netherlands,SmartPhoto_followers_Instagram_Germany,SmartPhoto_followers_Instagram_Denmark,SmartPhoto_followers_Instagram_Suisse,SmartPhoto_followers_Instagram_Sweden,SmartPhoto_followers_Instagram_Norway,SmartPhoto_followers_Instagram_Finland,SmartPhoto_followers_Instagram_UK,SmartPhoto_followers_Pinterest_Belgium,SmartPhoto_followers_Pinterest_Netherlands,SmartPhoto_followers_Pinterest_France,SmartPhoto_followers_Pinterest_Suisse,SmartPhoto_followers_Pinterest_UK,SmartPhoto_followers_Pinterest_Sweden,SmartPhoto_followers_Pinterest_Germany,CanadaGoose_followers_Pinterest
2020-05-01,255507,3959,630400,559,2603,436,3385,1065,5495,1293,1100,627,3178,146,270,19,3,51,9,2952
2020-05-03,256480,3971,630100,560,2603,435,3397,1066,5509,1293,1099,628,3185,146,270,19,3,51,9,2958
2020-05-04,256464,3976,629700,558,2605,435,3449,1066,5515,1293,1096,628,3187,146,272,19,3,51,9,2967
2020-05-05,257053,3976,629500,558,2600,433,3466,1066,5528,1293,1099,632,3189,146,272,19,3,51,9,2967
2020-05-06,257542,3977,629300,557,2602,437,3467,1067,5531,1293,1103,632,3190,146,272,19,3,51,9,2967
2020-05-07,258231,3984,629200,558,2603,440,3548,1069,5530,1293,1104,632,3192,146,273,19,3,51,9,2968
2020-05-08,259020,3991,629000,560,2605,440,3549,1069,5533,1295,1105,631,3194,146,273,19,3,51,9,2977
2020-05-11,260779,4006,628400,560,2654,439,3551,1073,5534,1295,1106,632,3202,146,274,19,3,51,9,2986
2020-05-12,260767,4006,628400,563,2658,440,3555,1071,5535,1295,1106,632,3203,146,274,19,3,51,9,2987
2020-05-13,261571,4011,628100,562,2666,440,3554,1069,5533,1295,1107,632,3205,146,274,19,3,51,9,2991
2020-05-14,262354,4017,628000,563,2674,440,3555,1071,5536,1295,1107,631,3205,146,274,19,3,51,9,2996
2020-05-16,263948,4030,627600,567,2683,440,3555,1073,5540,1295,1109,631,3205,146,274,19,3,51,9,3004
2020-05-18,265339,4034,627400,579,2678,439,3558,1076,5544,1294,1109,633,3212,146,274,19,3,51,9,3015
2020-05-19,265843,4038,627300,579,2676,439,3558,1077,5542,1294,1108,633,3214,146,274,19,3,51,9,3017
2020-05-20,266353,4041,627300,584,2676,439,3557,1078,5547,1294,1110,632,3216,146,274,19,3,51,9,3019
2020-05-22,267786,4043,626800,588,2682,438,3560,1076,5543,1294,1110,634,3218,146,274,19,3,51,9,3024
2020-05-23,267797,4045,626600,586,2696,436,3562,1075,5543,1292,1111,665,3220,146,274,19,3,51,9,3024
2020-05-24,269251,4046,626400,587,2730,435,3561,1074,5542,1292,1109,680,3223,146,274,19,3,51,9,3030
